country,Country Code,Series Name,Series Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Colombia,COL,Economic Fitness Metric,EF.EFM.OVRL.XD,0.51624,0.45681,0.4551,0.54927,0.50307,0.53639,0.57405,0.61597,0.60265,0.56208,0.53629,0.59619,0.67863,0.6686,0.65099,0.44142,0.33797,0.35756,0.35252,0.29174,0.379177491
"Congo, Dem. Rep.",COD,Economic Fitness Metric,EF.EFM.OVRL.XD,0.0055744,0.0078537,2.43E-07,0.0024982,0.0046075,0.0063601,0.010151,0.013385,0.021693,0.0094217,0.010758,0.0074872,0.0040202,0.0078621,0.019775,0.0079439,1.6E-13,0.0016029,7.22E-11,2.38E-06,9.38E-07
"Congo, Rep.",COG,Economic Fitness Metric,EF.EFM.OVRL.XD,0.0013027,7.4E-12,3.53E-09,0.0018641,0.00063079,0.00022748,0.00085396,0.0014956,0.0013326,0.00040396,0.0014394,0.00024521,0.0020753,0.0041851,0.0079346,0.0012542,5.83E-37,0.0016229,6.77E-18,1.48E-06,4.96E-07
Costa Rica,CRI,Economic Fitness Metric,EF.EFM.OVRL.XD,0.2412,0.30802,0.41364,0.40454,0.31038,0.35257,0.43033,0.40222,0.32072,0.34873,0.36258,0.36032,0.3675,0.42915,0.32196,0.30389,0.27218,0.28659,0.20265,0.19218,0.413633114
Cote d'Ivoire,CIV,Economic Fitness Metric,EF.EFM.OVRL.XD,0.077092,0.12172,0.11469,0.10607,0.12213,0.14061,0.12754,0.13766,0.13047,0.087509,0.074029,0.08207,0.077451,0.077041,0.13059,0.068637,0.052147,0.056309,0.042774,0.057147,0.057292725
Croatia,HRV,Economic Fitness Metric,EF.EFM.OVRL.XD,1.4443,1.2617,1.3391,1.2257,1.0062,1.1422,1.0961,1.1307,1.217,1.0857,1.1686,1.1828,1.3166,1.2663,1.1404,1.2775,1.1746,1.1867,1.3728,1.3281,1.327997279
Cyprus,CYP,Economic Fitness Metric,EF.EFM.OVRL.XD,0.5435,0.76057,0.86073,0.74449,0.71777,0.85635,0.82944,0.84168,0.75012,1.0059,1.036,0.74492,1.0008,1.1588,1.232,1.1332,1.0659,0.83395,0.80554,1.1091,0.837707337
Czech Republic,CZE,Economic Fitness Metric,EF.EFM.OVRL.XD,4.7976,4.024,3.825,3.6777,3.7531,3.7031,3.4627,3.3901,3.2758,3.3284,3.3309,3.3225,3.2334,3.116,2.9647,3.1301,3.2532,3.2392,3.3481,3.2044,3.106868832
Denmark,DNK,Economic Fitness Metric,EF.EFM.OVRL.XD,2.994,2.8523,2.8763,2.9014,2.8274,2.6122,2.407,2.3976,2.4728,2.61,2.5485,2.4353,2.4883,2.3988,2.3891,2.4171,2.5993,2.382,2.3401,2.4873,2.299857821
Ecuador,ECU,Economic Fitness Metric,EF.EFM.OVRL.XD,0.085125,0.1071,0.10676,0.14834,0.16266,0.17789,0.17097,0.16391,0.15722,0.12237,0.12323,0.15518,0.15572,0.11831,0.14495,0.20526,0.14972,0.18104,0.12153,0.071036,0.078880484
"Egypt, Arab Rep.",EGY,Economic Fitness Metric,EF.EFM.OVRL.XD,0.47756,0.4821,0.48933,0.5567,0.63485,0.62307,0.65671,0.70909,0.74057,0.68654,0.83763,0.71132,0.78629,0.8061,1.026,1.03,0.88489,0.90315,1.0132,1.151,1.102848825
El Salvador,SLV,Economic Fitness Metric,EF.EFM.OVRL.XD,0.32847,0.33383,0.38233,0.4636,0.47085,0.45311,0.48137,0.56455,0.57827,0.57681,0.57419,0.58207,0.55034,0.59991,0.57023,0.52171,0.53877,0.63274,0.6939,0.67223,0.644884466
